anom_C1-C2,temp_C
991.9194136,0.651890482
767.3930403,2.868318123
653.4567139,6.258148631
474.1184484,9.126466754
397.3098216,12.51629726
327.7085589,14.863103
265.9883014,17.60104302
215.9013847,20.07822686
178.0608991,23.07692308
139.9597187,26.20599739
111.7830467,29.5958279
89.27516966,33.2464146
78.50332378,35.98435463
67.93000937,39.11342894
58.78077451,42.24250326
51.68619066,45.24119948
44.72477402,48.37027379
40.60949874,50.97783572
35.71258348,53.19426336
32.42451833,56.19295958
27.6132707,58.93089961
25.47892236,61.14732725
22.76833208,63.36375489
21.34546376,66.23207301
18.1781596,68.97001304
16.50656078,71.18644068
15.23069778,73.40286832
13.83013705,75.61929596
12.55574449,79.13950456
11.58598291,80.96479791
10.52123634,82.79009126
13.39074078,77.18383312