dashed_x,dashed_y,left_norm_x,left_norm_y,right_norm_x,right_norm_y,shade_x,shade_y
85.83975894,61.79737102,24.5539099,94.84840315,238.0270889,94.84840315,4038.980691,6.353111433
89.38926246,59.83394336,24.55648412,94.19392726,263.3257578,91.7396427,4818.66605,7.395079595
96.91433625,57.21603983,26.08772931,93.04859447,285.5083268,88.79450122,26399.93074,17.29377713
107.2092404,54.43451732,27.71881536,90.92154784,315.8452531,85.84935974,22849.93755,19.11722142
121.0059014,51.65299482,30.04991105,88.79450122,349.4148124,82.7405993,19152.69819,21.20115774
131.1891266,49.19871025,32.57875475,86.34021666,386.5421759,79.79545782,15546.67897,23.93632417
145.1287371,46.25356878,34.61658715,84.04955106,427.6033314,77.01393531,12221.03573,26.67149059
163.8052241,43.47204627,39.07136471,81.26802856,473.0386814,74.06879384,9762.185107,29.40665702
174.0650836,40.69052377,43.22179249,78.48650605,533.941592,70.96003339,7196.85673,33.05354559
200.4651572,37.58176332,47.81060096,76.03222149,602.6540568,68.17851088,5478.680295,36.57018813
230.8571715,34.80024081,56.17556267,73.41431795,666.6720955,65.39698838,4038.980691,40.08683068
271.2764713,31.52786139,63.40806903,70.3055575,783.3543697,62.4518469,3074.715081,43.21273517
312.3958219,28.90995786,71.57362386,67.03317809,884.186714,59.50670542,2378.518974,46.33863965
367.0527188,26.29205432,84.10058166,64.08803661,1038.938829,56.56156395,1839.959918,49.59479016
422.6452631,24.32862667,93.03432106,61.3065141,1270.88903,53.4528035,1423.344752,52.72069465
476.9600948,22.52881799,107.1418266,58.36137263,1651.174366,50.67128099,1136.970323,55.32561505
571.7884951,19.91091446,120.9298122,55.57985012,2019.70447,47.88975849,937.8328383,58.8422576
685.3986609,17.94748681,139.2636745,52.79832761,2520.651788,45.10823598,811.7226518,62.0984081
821.6899996,15.1659643,160.3812905,49.85318614,3209.810581,42.1630945,713.9347752,64.83357453
1005.006207,12.87529871,196.1823692,46.90804466,4087.281709,39.381572,638.084285,67.17800289
1180.780597,10.58463311,230.5125556,44.12652216,5100.782855,36.92728743,561.2145473,70.04341534
1444.208678,8.29396752,281.9760607,41.01776171,6239.240474,34.14576493,501.5894947,73.16931983
1629.763576,6.657777811,351.9238089,38.07262023,7630.993521,32.01871831,462.9192347,75.25325615
1839.158947,5.021588101,448.1650274,34.80024081,9523.708915,29.2371958,407.1515548,79.16063676
1993.462701,4.039874276,570.7105423,31.69148036,11885.87452,26.45567329,363.894599,82.28654124
,,712.282551,28.74633889,15135.13533,23.67415079,335.8399868,84.89146165
,,888.926701,26.12843535,18889.10309,20.89262828,295.3814889,88.4081042
,,1109.407199,23.34691285,22642.82228,18.76558166,263.9993074,92.05499276
,,1357.054379,20.40177137,26070.85979,17.12939195,239.7678455,94.92040521
,,1659.852036,17.94748681,,,24.95815879,94.79015919
,,1950.158182,15.65682121,,,26.61258785,92.83646889
,,2433.855934,12.87529871,,,28.37668586,91.0130246
,,3037.525244,10.0937762,,,30.74715081,88.27785818
,,4027.204049,6.330539869,,,33.854525,85.54269175
,,,,,,37.87888726,82.15629522
,,,,,,42.38163436,79.55137482
,,,,,,47.41963297,76.94645441
,,,,,,53.9147154,74.21128799
,,,,,,60.32367686,71.47612156
,,,,,,68.58623036,69.00144718
,,,,,,76.73922725,66.00578871
,,,,,,90.09565205,62.48914616
,,,,,,104.0930186,59.75397974
,,,,,,118.350673,56.36758321
,,,,,,132.4192792,54.02315485
,,,,,,150.5567906,51.41823444
,,,,,,160.536915,50.11577424
,,,,,,179.6202931,48.29232996
,,,,,,204.2229426,46.33863965
,,,,,,239.7678455,43.99421129
,,,,,,277.0184601,41.91027496
,,,,,,335.8399868,39.17510854
,,,,,,400.6705816,36.83068017
,,,,,,470.4070995,34.74674385
,,,,,,561.2145473,32.40231548
,,,,,,669.5514766,30.18813314
,,,,,,786.0865821,28.10419682
,,,,,,953.0025806,25.62952243
,,,,,,1136.970323,23.15484805
,,,,,,1378.392249,20.81041968
,,,,,,1644.477268,18.3357453
,,,,,,1961.927374,16.25180897
,,,,,,2378.518974,13.64688857
,,,,,,2930.211407,11.04196816
,,,,,,3495.859799,8.567293777